"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"ATOMIC BENT 110 24/25 SKI",110,18,"133, 110, 124",1750,"164, 172, 180, 188","529.00","https://www.sport-conrad.com/produkte/atomic/bent-110-sc-1.html"
"BLIZZARD RUSTLER 10 24/25 SKI",102,185,"134, 102, 123",1880,"162, 168, 174, 180, 186, 192","499.00","https://www.sport-conrad.com/produkte/blizzard/rustler-10-sc.html"
"HEAD KORE 91 W 24/25 SKI",91,147,"130, 91, 113",,"156, 163","499.00","https://www.sport-conrad.com/produkte/head/kore-91-w-sc-1.html"
"ARMADA ARV 106 24/25 SKI",106,20,"132, 106, 125",2025,"172, 180","399.00","https://www.sport-conrad.com/produkte/armada/arv-106-sc-2.html"
"FACTION AGENT 2X 24/25 SKI DAMEN",96,15,"127, 96, 117",1330,"155, 163, 171","499.00","https://www.sport-conrad.com/produkte/faction/agent-2x-sc.html"
"ARMADA EDOLLO 24/25 SKI",98,205,"133, 98, 123",1975,"164, 172","349.00","https://www.sport-conrad.com/produkte/armada/edollo-sc-3.html"
"FISCHER RANGER 102 24/25 SKI",103,19,"138, 103, 128",2050,"169, 176, 183, 190","549.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc-2.html"
"FISCHER RANGER PINK 24/25 SKI",92,15,"128, 92, 117",1800,"142, 152, 182","299.00","https://www.sport-conrad.com/produkte/fischer/ranger-pink.html"
"LINE PANDORA 104 23/24 SKI DAMEN",104,146,"137, 104, 121",1950,"158, 165, 172","299.00","https://www.sport-conrad.com/produkte/line/pandora-104-sc.html"
"FACTION DANCER 2 24/25 SKI",96,19,"127, 96, 117",1900,"182, 187","499.00","https://www.sport-conrad.com/produkte/faction/dancer-2-sc-1.html"
"FACTION DANCER 1 24/25 SKI",86,18,"120, 86, 110",1720,"170, 178","479.00","https://www.sport-conrad.com/produkte/faction/dancer-1-sc.html"
"FACTION DANCER 2 24/25 SKI",96,19,"127, 96, 117",1900,"155, 163, 177","499.00","https://www.sport-conrad.com/produkte/faction/dancer-2-sc-2.html"
"FACTION AGENT 4 24/25 SKI",116,23,"141, 116, 131",1950,"179, 185, 191","499.00","https://www.sport-conrad.com/produkte/faction/agent-4.html"
"FACTION DANCER 1 24/25 SKI",86,18,"120, 86, 110",1720,"154","479.00","https://www.sport-conrad.com/produkte/faction/dancer-1-sc-1.html"
"FACTION AGENT 3X 24/25 SKI DAMEN",106,16,"134, 106, 124",1580,"164, 172, 178","499.00","https://www.sport-conrad.com/produkte/faction/agent-3x.html"
"FACTION AGENT 1 24/25 SKI",86,18,"120, 86, 110",1490,"162, 186","399.00","https://www.sport-conrad.com/produkte/faction/agent-1-sc.html"
"FACTION DANCER 3 24/25 SKI",106,21,"134, 106, 124",2100,"164, 172, 178","499.00","https://www.sport-conrad.com/produkte/faction/dancer-3-sc.html"
"FACTION AGENT 1X 24/25 SKI DAMEN",86,14,"120, 86, 110",1290,"162, 170","399.00","https://www.sport-conrad.com/produkte/faction/agent-1x-sc.html"
"FACTION STUDIO 3 24/25 SKI",112,184,"140, 112, 134",1990,"190","449.00","https://www.sport-conrad.com/produkte/faction/studio-3.html"
"FACTION PRODIGY 3 24/25 SKI",106,20,"133, 106, 125",2100,"172, 178, 184, 190","399.00","https://www.sport-conrad.com/produkte/faction/prodigy-3-sc-1.html"
"FACTION STUDIO 2 24/25 SKI",102,20,"131, 102, 127",1880,"188","449.00","https://www.sport-conrad.com/produkte/faction/studio-2.html"
"NORDICA UNLEASHED 90 24/25 SKI",90,154,"122, 90, 111",1445,"152, 160","239.00","https://www.sport-conrad.com/produkte/nordica/unleashed-90-sc-3.html"
"LINE BLADE W 23/24 SKI",92,14,"140, 92, 114",1650,"153","299.00","https://www.sport-conrad.com/produkte/line/blade-w-sc-1.html"
"ROSSIGNOL SENDER SOUL 92 24/25 SKI",92,16,"122, 92, 112",1400,"166, 176","379.00","https://www.sport-conrad.com/produkte/rossignol/sender-soul-92.html"
"BLACK CROWS SOLIS 24/25 SKI",100,25,"126, 100, 108",1800,"173, 180","948.95","https://www.sport-conrad.com/produkte/black-crows/solis.html"
"BLACK CROWS OCTO BIRDIE 24/25 SKI DAMEN",84,14,"126, 84, 113",1525,"155, 161, 167, 173","749.00","https://www.sport-conrad.com/produkte/black-crows/octo-birdie.html"
"BLACK CROWS ANIMA 24/25 SKI",115,19,"144, 115, 134",2250,"176, 182, 189, 194","829.00","https://www.sport-conrad.com/produkte/black-crows/anima-sc-1.html"
"LINE CHRONIC 101 24/25 SKI",101,166,"130, 101, 124",2030,"165, 172, 179, 186","359.00","https://www.sport-conrad.com/produkte/line/chronic-101-sc.html"
"FACTION DANCER GROM 24/25 SKI",92,12,"123, 92, 113",1500,"146, 155","249.00","https://www.sport-conrad.com/produkte/faction/dancer-grom.html"
"K2 RECKONER 102 24/25 SKI",102,177,"134, 102, 127",1800,"170, 177, 191","349.00","https://www.sport-conrad.com/produkte/k2/reckoner-102-sc-3.html"
"LINE VISION 98 23/24 SKI",98,18,"131, 98, 119",1515,"186","299.00","https://www.sport-conrad.com/produkte/line/vision-98-sc.html"
"SALOMON QST 92 22/23 SKI",92,15,"128, 92, 116",1800,"160, 168, 176, 184","299.00","https://www.sport-conrad.com/produkte/salomon/qst-92.html"
"K2 MINDBENDER 89TI 24/25 SKI",89,154,"130, 89, 114",2050,"170, 176, 182","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-89ti-sc-1.html"
"FACTION PRODIGY 2 24/25 SKI",98,20,"127, 98, 119",1860,"159, 165, 171, 177, 183, 189","339.00","https://www.sport-conrad.com/produkte/faction/prodigy-2-sc-2.html"
"FISCHER RANGER 102 24/25 SKI",102,18,"137, 102, 127",1900,"155, 162, 176, 190","549.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc-1.html"
"FACTION STUDIO GROM 24/25 SKI KINDER",96,12,"127, 96, 123",1350,"139, 149","199.00","https://www.sport-conrad.com/produkte/faction/studio-grom.html"
"NORDICA ENFORCER 80S 24/25 SKI KINDER",80,14,"114, 80, 99",1180,"130, 140","239.00","https://www.sport-conrad.com/produkte/nordica/enforcer-80s.html"
"FISCHER RANGER 84 24/25 SKI",84,15,"117, 84, 107",1850,"153, 167","399.00","https://www.sport-conrad.com/produkte/fischer/ranger-84-sc-2.html"
"BLIZZARD ANOMALY 102 24/25 SKI",102,24,"136, 102, 123",2240,"176, 182, 188, 192","499.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-102.html"
"LINE BACON 115 23/24 SKI",115,184,"148, 115, 138",2340,"168, 178, 188","299.00","https://www.sport-conrad.com/produkte/line/bacon-115.html"
"ZAG SLAP 104 24/25 SKI HERREN",104,19,"136, 104, 125, 2",1940,"188","499.00","https://www.sport-conrad.com/produkte/zag/slap-104.html"
"BLIZZARD ANOMALY 94 24/25 SKI",94,17,"132, 5, 94, 114, 5",2100,"170, 176, 188","639.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-94.html"
"ATOMIC BENT 90 24/25 SKI",90,19,"119, 90, 109",1600,"166, 175, 184","379.00","https://www.sport-conrad.com/produkte/atomic/bent-90-sc-1.html"
"LINE VISION 108 23/24 SKI",108,195,"142, 108, 128",1605,"183, 189","299.00","https://www.sport-conrad.com/produkte/line/vision-108-sc.html"
"K2 MINDBENDER 96C 24/25 SKI",96,178,"131, 96, 119",1930,"172, 178, 184","349.00","https://www.sport-conrad.com/produkte/k2/mindbender-96c-sc-2.html"
"ZAG HARFANG 106 24/25 SKI",106,215,"139, 5, 106, 124, 5",2100,"186, 192","499.00","https://www.sport-conrad.com/produkte/zag/harfang-106.html"
"SALOMON QST 98 23/24 SKI",98,17,"133, 98, 121",1990,"189","369.00","https://www.sport-conrad.com/produkte/salomon/qst-98.html"
"VÖLKL REVOLT 121 24/25 SKI",121,174,"143, 121, 135",2220,"184, 191","549.00","https://www.sport-conrad.com/produkte/voelkl/revolt-121-sc-2.html"
"ATOMIC MAVERICK 95 TI 24/25 SKI",95,193,"129, 95, 113",1800,"180","499.00","https://www.sport-conrad.com/produkte/atomic/maverick-95-ti-sc.html"
"FACTION PRODIGY 1 24/25 SKI",88,17,"120, 88, 112",1750,"158, 164, 171, 178, 184","269.00","https://www.sport-conrad.com/produkte/faction/prodigy-1-sc-1.html"
"SALOMON QST ECHO 106 24/25 SKI",106,19,"139, 106, 126",1760,"165, 173, 181, 189","499.00","https://www.sport-conrad.com/produkte/salomon/qst-echo-106.html"
"LINE VISION 96 24/25 SKI",96,17,"131, 96, 120",1650,"172, 178","449.00","https://www.sport-conrad.com/produkte/line/vision-96.html"
"NORDICA ENFORCER 89 24/25 SKI",89,175,"122, 5, 89, 110, 5",2010,"167, 173, 179, 185","479.00","https://www.sport-conrad.com/produkte/nordica/enforcer-89.html"
"BLIZZARD RUSTLER 9 24/25 SKI",96,17,"131, 5, 96, 121",1860,"168, 174, 180, 186","449.00","https://www.sport-conrad.com/produkte/blizzard/rustler-9-sc.html"
"BLIZZARD RUSTLER 11 24/25 SKI",114,205,"142, 114, 132",2070,"174, 180, 186, 192","499.00","https://www.sport-conrad.com/produkte/blizzard/rustler-11.html"
"ARMADA ARV 100 24/25 SKI",100,18,"128, 100, 120",1700,"165, 172","399.00","https://www.sport-conrad.com/produkte/armada/arv-100-sc.html"
"FISCHER RANGER 102 23/24 SKI",102,18,"137, 102, 127",1880,"155","299.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc.html"
"ARMADA STRANGER 24/25 SKI",100,158,"140, 100, 140",2100,"172, 180","449.00","https://www.sport-conrad.com/produkte/armada/stranger-sc.html"
"SALOMON QST 106 23/24 SKI",106,19,"139, 106, 126",1980,"181, 189","399.00","https://www.sport-conrad.com/produkte/salomon/qst-106.html"
"FACTION DANCER 3 24/25 SKI",106,21,"134, 106, 124",2100,"172, 178, 183, 188","499.00","https://www.sport-conrad.com/produkte/faction/dancer-3-sc-1.html"
"K2 MINDBENDER 99TI 24/25 SKI",99,181,"134, 99, 120",2220,"178, 184, 190","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-99ti.html"
"SALOMON QST 106 23/24 SKI",106,19,"139, 106, 126",1980,"181, 189","399.00","https://www.sport-conrad.com/produkte/salomon/qst-106.html"
"ATOMIC BENT 100 24/25 SKI",100,195,"129, 5, 100, 120",1700,"165, 172, 179","459.00","https://www.sport-conrad.com/produkte/atomic/bent-100-sc-1.html"
"FACTION AGENT 3 23/24 SKI",106,21,"134, 106, 124",1750,"178","299.00","https://www.sport-conrad.com/produkte/faction/agent-3.html"
"ARMADA ARV 116 JJ UL 24/25 SKI",116,18,"139, 116, 135",1725,"165, 175, 185","499.00","https://www.sport-conrad.com/produkte/armada/arv-116-jj-ul-sc-1.html"
"FACTION AGENT 3 24/25 SKI",106,21,"134, 106, 124",1750,"172, 178, 183","499.00","https://www.sport-conrad.com/produkte/faction/agent-3-sc.html"
"NORDICA UNLEASHED 90 24/25 SKI",90,154,"122, 90, 111",1445,"160, 168","239.00","https://www.sport-conrad.com/produkte/nordica/unleashed-90-sc-2.html"
"FACTION PRODIGY 0 24/25 SKI",85,13,"117, 85, 109",1660,"150, 157, 164, 171","249.00","https://www.sport-conrad.com/produkte/faction/prodigy-0-sc-1.html"
"SCOTT SEA 98 24/25 SKI",98,17,"133, 98, 122",1900,"172, 180, 188","539.00","https://www.sport-conrad.com/produkte/scott/sea-98.html"
"BLIZZARD ANOMALY 84 24/25 SKI",84,16,"124, 5, 84, 107, 5",1900,"170","559.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-84.html"
"FISCHER RANGER 102 23/24 SKI",102,18,"137, 102, 127",1880,"155","299.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc.html"
"ARMADA STRANGER 24/25 SKI",100,158,"140, 100, 140",2100,"172, 180","449.00","https://www.sport-conrad.com/produkte/armada/stranger-sc.html"
"DYNASTAR M-FREE 90 24/25 SKI",90,14,"122, 90, 112",1350,"167, 177","329.00","https://www.sport-conrad.com/produkte/dynastar/m-free-90-sc.html"
"BLACK CROWS ATRIS 24/25 SKI",105,20,"140, 105, 123",1975,"172, 178, 184, 190","699.00","https://www.sport-conrad.com/produkte/black-crows/atris-sc-4.html"
"K2 MINDBENDER 99TI 24/25 SKI",99,181,"134, 99, 120",2220,"178, 184, 190","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-99ti.html"
"FACTION AGENT 3 23/24 SKI",106,21,"134, 106, 124",1750,"178","299.00","https://www.sport-conrad.com/produkte/faction/agent-3.html"
"FACTION MANA 2X 23/24 SKI",102,16,"131, 102, 127",1690,"166","399.00","https://www.sport-conrad.com/produkte/faction/mana-2x-sc.html"
"DYNASTAR E-CROSS 82 23/24 SKI DAMEN",81,11,"128, 81, 110",1450,"158","299.00","https://www.sport-conrad.com/produkte/dynastar/e-cross-82.html"
"DPS PAGODA 106C2 22/23 SKI",106,19,"138, 106, 122",2040,"179, 184","749.00","https://www.sport-conrad.com/produkte/dps/pagoda-106c2.html"
"SCOTT PURE AM 24/25 SKI DAMEN",86,12,"130, 86, 118",1400,"155, 160","499.00","https://www.sport-conrad.com/produkte/scott/pure-am.html"
"DPS KOALA 111 23/24 SKI",111,18,"137, 111, 125",2050,"176","499.00","https://www.sport-conrad.com/produkte/dps/koala-111.html"
"DPS PAGODA 90 RP 22/23 SKI",90,15,"119, 90, 106",1715,"165","749.00","https://www.sport-conrad.com/produkte/dps/pagoda-90-rp.html"
"K2 RECKONER 102 23/24 SKI",102,193,"134, 102, 127",1820,"170","299.00","https://www.sport-conrad.com/produkte/k2/reckoner-102.html"
"DYNASTAR E-CROSS 88 23/24 SKI DAMEN",87,11,"134, 87, 116",1700,"158, 167","359.00","https://www.sport-conrad.com/produkte/dynastar/e-cross-88.html"
"ELAN RIPSTICK 96 23/24 SKI",96,18,"136, 96, 110",1650,"164","349.00","https://www.sport-conrad.com/produkte/elan/ripstick-96.html"
"NORDICA SANTA ANA 93 23/24 SKI DAMEN",93,161,"126, 5, 93, 114, 5, 172",1825,"151","299.00","https://www.sport-conrad.com/produkte/nordica/santa-ana-93.html"
"ELAN RIPSTICK 88 21/22 SKI",88,170,"130, 88, 105",1550,"148","199.00","https://www.sport-conrad.com/produkte/elan/ripstick-88-sc-1.html"
"DPS FOUNDATION 100RP 22/23 SKI",100,15,"133, 100, 118",2050,"153, 163","399.00","https://www.sport-conrad.com/produkte/dps/foundation-100rp.html"
"KÄSTLE ZX108 23/24 SKI",108,192,"134, 108, 130",2160,"179, 184","399.00","https://www.sport-conrad.com/produkte/kaestle/zx108.html"
"FACTION PRODIGY 1 GROM 23/24 SKI KINDER",84,12,"115, 84, 111",1250,"125","249.00","https://www.sport-conrad.com/produkte/faction/prodigy-1-grom.html"
"DPS PAGODA 106C2 22/23 SKI",106,19,"138, 106, 122",2040,"163, 171","749.00","https://www.sport-conrad.com/produkte/dps/pagoda-106c2-sc.html"
"BLIZZARD RUSTLER 10 22/23 SKI",102,175,"133, 102, 122, 5",2020,"164","299.00","https://www.sport-conrad.com/produkte/blizzard/rustler-10.html"
"LINE PANDORA 84 23/24 SKI DAMEN",84,13,"122, 84, 110",1340,"165","299.00","https://www.sport-conrad.com/produkte/line/pandora-84.html"
"VÖLKL KENJA 88 23/24 SKI DAMEN",88,13,"129, 88, 113",1701,"149","299.00","https://www.sport-conrad.com/produkte/voelkl/kenja-88-sc-1.html"
"FISCHER RANGER 23/24 SKI",92,15,"128, 92, 117",1800,"152","259.00","https://www.sport-conrad.com/produkte/fischer/ranger-sc.html"
"MOVEMENT FLY 105 23/24 SKI",105,19,"128, 105, 123",1980,"170","399.00","https://www.sport-conrad.com/produkte/movement/fly-105.html"
"LINE BLEND 23/24 SKI",100,20,"133, 100, 122",1850,"185","399.00","https://www.sport-conrad.com/produkte/line/blend.html"
"DPS CARBON KAIZEN 100 23/24 SKI",100,15,"132, 100, 117",1800,"153","999.00","https://www.sport-conrad.com/produkte/dps/carbon-kaizen-100.html"
"ZAG HARFANG 96 W 24/25 SKI DAMEN",96,17,"131, 96, 115, 5",1620,"156, 164, 170","499.00","https://www.sport-conrad.com/produkte/zag/harfang-96-w.html"
"DPS KOALA 103 23/24 SKI",103,18,"129, 103, 119",2075,"168, 176","399.00","https://www.sport-conrad.com/produkte/dps/koala-103.html"
"DPS CARBON KAIZEN 105 23/24 SKI",105,18,"134, 105, 118",1800,"155, 163","899.00","https://www.sport-conrad.com/produkte/dps/carbon-kaizen-105.html"
"DPS FOUNDATION 106C2 22/23 SKI",106,19,"138, 106, 122",2025,"155","399.00","https://www.sport-conrad.com/produkte/dps/foundation-106c2.html"
"VÖLKL KANJO 84 23/24 SKI",84,14,"125, 84, 107",1420,"161","299.00","https://www.sport-conrad.com/produkte/voelkl/kanjo-84-sc-1.html"
"BLIZZARD HUSTLE 11 23/24 SKI",114,21,"142, 114, 132",1950,"164","299.00","https://www.sport-conrad.com/produkte/blizzard/hustle-11.html"
"VÖLKL BLAZE 94 W 22/23 SKI DAMEN",94,14,"134, 94, 116",1450,"151","299.00","https://www.sport-conrad.com/produkte/voelkl/blaze-94-w.html"
"SCOTT PURE W FREE 24/25 SKI DAMEN",90,16,"125, 90, 109",1580,"160, 168","399.00","https://www.sport-conrad.com/produkte/scott/pure-w-free.html"
"SCOTT PURE MISSION 98TI W 24/25 SKI DAMEN",98,17,"133, 98, 119",1500,"160","459.00","https://www.sport-conrad.com/produkte/scott/pure-mission-98ti-w.html"
"MOVEMENT GO 112 23/24 SKI",112,225,"140, 112, 128",1980,"178","349.00","https://www.sport-conrad.com/produkte/movement/go-112.html"
"K2 RECKONER 92 W 23/24 SKI DAMEN",92,146,"124, 92, 114",1500,"149","199.00","https://www.sport-conrad.com/produkte/k2/reckoner-92-w.html"
"ARMADA ARV 106 23/24 SKI",106,205,"134, 106, 124",2125,"180","399.00","https://www.sport-conrad.com/produkte/armada/arv-106.html"
"ELAN RIPSTICK 88 W 23/24 SKI DAMEN",88,154,"130, 88, 105",1445,"170","299.00","https://www.sport-conrad.com/produkte/elan/ripstick-88-w.html"
"BLIZZARD HUSTLE 10 23/24 SKI",102,175,"133, 102, 122, 5",1800,"164","299.00","https://www.sport-conrad.com/produkte/blizzard/hustle-10.html"
"K2 MINDBENDER 90C W 23/24 SKI DAMEN",90,119,"132, 90, 117",1550,"160, 166","299.00","https://www.sport-conrad.com/produkte/k2/mindbender-90c-w-sc.html"
"ELAN RIPSTICK 94 W 23/24 SKI DAMEN",94,162,"136, 94, 110",1570,"162","299.00","https://www.sport-conrad.com/produkte/elan/ripstick-94-w.html"
"K2 MINDBENDER 89TI W 23/24 SKI DAMEN",89,131,"130, 89, 114",1750,"164","249.00","https://www.sport-conrad.com/produkte/k2/mindbender-89ti-w-sc.html"
"FISCHER RANGER 90 23/24 SKI",90,16,"129, 90, 114",1750,"163","299.00","https://www.sport-conrad.com/produkte/fischer/ranger-90.html"
"FACTION PRODIGY 4 23/24 SKI",116,22,"140, 116, 132",2200,"179, 185, 191","349.00","https://www.sport-conrad.com/produkte/faction/prodigy-4.html"
"K2 MINDBENDER 108 TI 23/24 SKI",108,229,"137, 108, 125",2265,"179","349.00","https://www.sport-conrad.com/produkte/k2/mindbender-108-ti-sc.html"
"FACTION DANCER 2 YTH 23/24 SKI KINDER",92,12,"123, 92, 113",1500,"146, 155","179.00","https://www.sport-conrad.com/produkte/faction/dancer-2-yth.html"
"VÖLKL KATANA 108 23/24 SKI",108,18,"146, 108, 129",2230,"184","349.00","https://www.sport-conrad.com/produkte/voelkl/katana-108.html"
"VÖLKL KENDO 88 22/23 SKI",88,17,"129, 88, 113",1900,"177","399.00","https://www.sport-conrad.com/produkte/voelkl/kendo-88.html"
"ELAN RIPSTICK 88 W 19/20 SKI DAMEN",88,17,"130, 88, 105",,"178","149.00","https://www.sport-conrad.com/produkte/elan/ripstick-88-w-sc-1.html"
"DPS FOUNDATION 112RP 22/23 SKI",112,15,"140, 112, 127",2110,"158","399.00","https://www.sport-conrad.com/produkte/dps/foundation-112rp.html"
"SALOMON QST LUX 92 22/23 SKI DAMEN",92,16,"129, 92, 112",1600,"146, 152, 160","299.00","https://www.sport-conrad.com/produkte/salomon/qst-lux-92.html"
"FACTION DANCER 4 23/24 SKI",116,21,"141, 116, 131",2080,"185","399.00","https://www.sport-conrad.com/produkte/faction/dancer-4-sc.html"
"FACTION LA MACHINE 1 MICRO 24/25 SKI",91,18,"120, 91, 111",1290,"170","599.00","https://www.sport-conrad.com/produkte/faction/la-machine-1-micro.html"
"FISCHER RANGER 84 23/24 SKI",84,14,"117, 84, 107",1850,"153, 160","249.00","https://www.sport-conrad.com/produkte/fischer/ranger-84.html"
"ELAN RIPSTICK 106 23/24 SKI",106,181,"143, 106, 120",1830,"188","399.00","https://www.sport-conrad.com/produkte/elan/ripstick-106.html"
"ELAN RIPSTICK 106 23/24 SKI",106,181,"143, 106, 120",1830,"188","399.00","https://www.sport-conrad.com/produkte/elan/ripstick-106.html"